Production Line Tag,Manufactured Part Code,Shift Date,Gross Quantity Produced,Conforming Quality Qty,Unplanned Downtime Duration
LIN-EDR-02-6,PRD-MOT-500-6,2025-10-28,1152,1078,10
LIN-PRS-01-10,PRD-PLT-005-10,2025-09-16,2517,2380,137 mins
LIN-PNT-01-10,PRD-FLG-880-10,2024-10-16,2896,2702,91
LIN-CNC-02-10,PRD-FLG-880-10,2024-07-31,2768,2737,33 min
LIN-CNC-02-2,PRD-FLG-880-2,2025-12-05,2781,2605,45
LIN-CNC-02-2,PRD-FLG-880-2,2026-03-10,2214,2041,9 min
LIN-EDR-01-2,PRD-STA-320-2,2026-04-08,1172,1127,11
LIN-WLD-01-4,PRD-CHS-010-4,2026-04-08,967,957,1.9 hrs
LIN-CNC-01-7,PRD-FLG-880-7,2025-01-01,1366,1299,25
LIN-PNT-01-5,PRD-FLG-880-5,2026-03-18,2312,2047,17 min
LIN-EDR-02-2,PRD-MOT-500-2,2025-01-20,1336,1259,10 min
LIN-WLD-02-5,PRD-PLT-005-5,2025-07-04,926,867,71
LIN-PNT-01-7,PRD-HSG-450-7,2025-01-03,3255,3036,44 min
LIN-CNC-02-9,PRD-FLG-880-9,2024-03-22,2314,2170,52
LIN-CNC-01-5,PRD-VAL-101-5,2026-04-07,2262,2172,4
LIN-CNC-02,PRD-BRK-220,2024-12-18,2512,2477,1.6 hrs
LIN-EDR-02-5,PRD-MOT-500-5,2026-01-05,1433,1378,54 min
LIN-CNC-01-6,PRD-FLG-880-6,2024-06-27,2172,2152,1 min
LIN-PNT-01-8,PRD-FLG-880-8,2024-09-11,2870,2783,18 min
LIN-WLD-02-9,PRD-PLT-005-9,2024-03-22,1278,1231,7
LIN-WLD-02-3,PRD-PLT-005-3,2026-04-27,982,966,23 min
LIN-PRS-01-10,PRD-PLT-005-10,2024-01-19,3532,3471,38
LIN-PRS-01-7,PRD-PLT-005-7,2026-01-09,3020,3003,119
LIN-CNC-01-8,PRD-FLG-880-8,2026-01-26,1695,1666,8
LIN-EDR-01-2,PRD-STA-320-2,2025-02-13,921,915,1.6 hrs
LIN-CNC-01-9,PRD-FLG-880-9,2025-09-29,1567,1522,10 min
LIN-CNC-01-9,PRD-FLG-880-9,2024-03-14,1926,1875,32
LIN-PNT-01-3,PRD-HSG-450-3,2026-05-26,2372,2324,16 min
LIN-EDR-01-2,PRD-STA-320-2,2024-11-26,1306,1222,1 min
LIN-PRS-01-5,PRD-PLT-005-5,2025-10-17,3679,3400,-
LIN-CNC-02-4,PRD-BRK-220-4,2025-02-04,3136,3009,48 min
LIN-EDR-02-6,PRD-MOT-500-6,2024-12-09,1272,1233,15 min
LIN-EDR-02-6,PRD-MOT-500-6,2024-01-25,1445,1359,4
LIN-EDR-01-9,PRD-STA-320-9,2024-04-20,534,480,3.2 hrs
LIN-PNT-01-10,PRD-FLG-880-10,2024-04-29,2554,2440,None
LIN-PNT-01-7,PRD-HSG-450-7,2025-03-24,2532,2494,15 min
LIN-EDR-02,PRD-MOT-500,2026-03-09,1321,1301,2 min
LIN-EDR-01-5,PRD-STA-320-5,2024-09-19,1388,1329,10 min
LIN-WLD-02-9,PRD-PLT-005-9,2026-01-11,432,418,58
LIN-CNC-01-8,PRD-FLG-880-8,2025-07-17,1877,1812,14 min
LIN-PRS-01-4,PRD-BRK-220-4,2025-03-17,2630,2524,9
LIN-WLD-02-5,PRD-PLT-005-5,2025-09-12,980,958,165
LIN-EDR-01-9,PRD-STA-320-9,2025-12-23,1002,972,23
LIN-WLD-02-5,PRD-PLT-005-5,2025-05-15,1064,1000,1.3 hrs
LIN-PNT-01-7,PRD-HSG-450-7,2025-04-23,2916,2872,59 min
LIN-PNT-01-5,PRD-HSG-450-5,2026-01-10,1210,1165,1.6 hrs
LIN-CNC-02-7,PRD-BRK-220-7,2026-06-11,2535,2485,4
LIN-CNC-01,PRD-FLG-880,2025-04-28,2149,2099,21
LIN-PNT-01-8,PRD-HSG-450-8,2025-09-22,3045,2733,14
LIN-WLD-02-2,PRD-CHS-010-2,2026-05-08,1132,1036,11
LIN-WLD-02-2,PRD-PLT-005-2,2024-06-18,1308,1207,31 min
LIN-CNC-02-5,PRD-FLG-880-5,2026-03-20,2096,2036,125
LIN-EDR-02-7,PRD-MOT-500-7,2024-10-11,1660,1559,3
LIN-EDR-01-5,PRD-STA-320-5,2024-06-21,1541,1525,12
LIN-PRS-01-9,PRD-BRK-220-9,2026-03-23,2615,2353,250 mins
LIN-PNT-01-5,PRD-HSG-450-5,2024-03-01,3042,2895,13 min
LIN-PNT-01-5,PRD-FLG-880-5,2025-03-28,2769,2719,82 mins
LIN-WLD-02-9,PRD-PLT-005-9,2024-06-04,1185,1153,12 min
LIN-CNC-01-8,PRD-FLG-880-8,2025-12-29,1625,1493,3.8 hrs
LIN-WLD-01-10,PRD-CHS-010-10,2025-06-25,859,764,3
LIN-CNC-01-4,PRD-FLG-880-4,2024-08-13,2404,2280,3
LIN-PRS-01-10,PRD-PLT-005-10,2024-10-19,757,729,-
LIN-WLD-02-7,PRD-PLT-005-7,2025-04-03,875,855,15
LIN-WLD-01-5,PRD-CHS-010-5,2024-07-15,1092,1075,7 min
LIN-CNC-01-5,PRD-FLG-880-5,2024-05-10,2303,2251,142
LIN-EDR-01-5,,2026-05-05,,,Line Maintenance
LIN-EDR-01-3,PRD-STA-320-3,2026-04-15,1668,1604,19 min
LIN-PNT-01-10,PRD-FLG-880-10,2025-10-14,2330,2244,0
LIN-EDR-01,PRD-STA-320,2025-12-01,1169,1144,22 min
LIN-WLD-02-6,PRD-CHS-010-6,2025-07-25,1195,1122,1.1 hrs
LIN-PRS-01-8,PRD-PLT-005-8,2026-01-30,3491,3382,75 mins
LIN-WLD-01-3,PRD-CHS-010-3,2024-11-22,806,696,45
LIN-CNC-01-8,PRD-FLG-880-8,2026-01-05,2318,2286,154
LIN-PRS-01-10,PRD-BRK-220-10,2026-03-26,2683,2521,29
LIN-CNC-01-9,PRD-FLG-880-9,2025-09-20,676,643,153 mins
LIN-CNC-02-7,PRD-BRK-220-7,2025-09-15,2498,2429,11
LIN-CNC-01-7,PRD-FLG-880-7,2026-03-12,1872,1721,41 min
LIN-EDR-02,,2026-06-26,,,Line Maintenance
LIN-WLD-02,PRD-PLT-005,2024-04-25,1065,1049,95
LIN-CNC-02-10,PRD-BRK-220-10,2025-09-15,2263,2164,10 min
LIN-WLD-02-3,PRD-CHS-010-3,2025-06-03,1322,1255,39 min
LIN-CNC-01-10,PRD-VAL-101-10,2024-05-30,1787,1702,77
LIN-WLD-01-9,PRD-CHS-010-9,2025-05-29,880,844,59
LIN-WLD-02-2,PRD-CHS-010-2,2024-11-14,1194,1107,55
LIN-PRS-01-7,PRD-BRK-220-7,2026-04-20,3304,3114,159 mins
LIN-WLD-02-6,PRD-CHS-010-6,2025-07-21,1184,1170,16 min
LIN-PNT-01-7,PRD-HSG-450-7,2025-01-31,2496,2475,182 mins
LIN-CNC-02,PRD-BRK-220,2024-07-24,2190,2057,9
LIN-CNC-01-2,PRD-FLG-880-2,2026-04-28,1542,1521,22 min
LIN-CNC-01,PRD-VAL-101,2024-02-23,2548,2494,22
LIN-PRS-01-9,PRD-PLT-005-9,2024-02-14,3498,3421,62
LIN-PNT-01-8,PRD-FLG-880-8,2024-11-20,3274,3127,8
LIN-PRS-01-10,PRD-BRK-220-10,2024-06-04,3945,3764,1.5 hrs
LIN-EDR-01-3,PRD-STA-320-3,2025-10-23,1483,1454,2 min
LIN-WLD-01-2,PRD-CHS-010-2,2024-04-11,1055,1041,5
LIN-CNC-01-4,PRD-VAL-101-4,2024-08-06,1661,1517,15
LIN-EDR-02-7,PRD-MOT-500-7,2025-12-03,1075,1057,3.2 hrs
LIN-EDR-02-6,PRD-MOT-500-6,2024-07-19,1085,1084,2.6 hrs
LIN-WLD-01-3,PRD-CHS-010-3,2024-01-26,929,911,36 min
LIN-WLD-01-9,PRD-CHS-010-9,2025-11-07,906,841,35
LIN-CNC-02-2,PRD-BRK-220-2,2026-03-17,2627,2559,23 min
LIN-PRS-01,PRD-PLT-005,2024-08-15,4008,3880,18
LIN-CNC-02-4,PRD-BRK-220-4,2026-04-07,2094,1980,17
LIN-WLD-01-3,PRD-CHS-010-3,2026-01-15,1009,989,10 min
LIN-WLD-01-5,PRD-CHS-010-5,2026-04-30,1241,1219,29
LIN-WLD-02-7,PRD-PLT-005-7,2026-05-25,845,799,11 min
LIN-CNC-01-4,PRD-VAL-101-4,2025-09-19,1890,1879,282 mins
LIN-EDR-02-5,PRD-MOT-500-5,2024-05-09,1508,1396,0
LIN-EDR-02-8,PRD-MOT-500-8,2025-04-14,1086,1048,24
LIN-WLD-02-9,PRD-CHS-010-9,2026-06-18,1234,1197,17 min
LIN-PNT-01-10,PRD-FLG-880-10,2024-12-09,2355,2295,6 min
LIN-CNC-02-2,PRD-BRK-220-2,2026-04-01,2382,2341,6
LIN-CNC-01-9,PRD-VAL-101-9,2024-08-29,2165,2050,57 min
LIN-CNC-02,PRD-BRK-220,2024-02-02,2704,2637,3.2 hrs
LIN-WLD-01-10,PRD-CHS-010-10,2026-06-26,903,899,8
LIN-CNC-02-7,PRD-FLG-880-7,2024-05-19,618,583,13
LIN-CNC-01-5,PRD-FLG-880-5,2025-06-12,2097,1989,10
LIN-PNT-01-8,PRD-HSG-450-8,2024-06-09,635,618,17
LIN-WLD-02-10,PRD-PLT-005-10,2026-03-18,866,763,168
LIN-WLD-02,PRD-PLT-005,2025-05-02,1383,1325,44 min
LIN-WLD-02-6,PRD-PLT-005-6,2026-04-05,311,308,2 min
LIN-WLD-01-10,PRD-CHS-010-10,2025-02-26,689,677,25 min
LIN-CNC-02-6,PRD-FLG-880-6,2025-01-09,2811,2706,10 min
LIN-PNT-01-2,PRD-FLG-880-2,2026-04-03,3549,3347,33 min
LIN-PNT-01,PRD-HSG-450,2024-11-14,2907,2792,2
LIN-EDR-01-5,,2025-01-24,,,Line Maintenance
LIN-EDR-02-6,PRD-MOT-500-6,2025-02-06,1139,1071,30
LIN-CNC-02-2,PRD-FLG-880-2,2026-06-09,1660,1617,74 mins
LIN-CNC-01-4,PRD-VAL-101-4,2024-05-04,455,450,44
LIN-PNT-01-2,PRD-HSG-450-2,2026-02-28,969,917,54 min
LIN-EDR-02-7,PRD-MOT-500-7,2025-06-22,513,489,14 min
LIN-CNC-01-10,PRD-FLG-880-10,2024-09-12,2296,2240,57
LIN-PNT-01-8,PRD-HSG-450-8,2025-03-07,2888,2830,4
LIN-WLD-02-9,PRD-CHS-010-9,2026-02-26,1125,1085,95 mins
LIN-WLD-02-7,PRD-PLT-005-7,2024-05-30,1035,958,28
LIN-WLD-02-2,PRD-PLT-005-2,2024-04-05,843,822,1.1 hrs
LIN-WLD-02-10,PRD-PLT-005-10,2025-04-02,1140,1102,1.0 hrs
LIN-CNC-01-7,PRD-FLG-880-7,2024-12-26,2234,1933,10
LIN-WLD-02-2,PRD-PLT-005-2,2025-03-11,1163,1126,70 mins
LIN-PNT-01-3,PRD-HSG-450-3,2024-05-26,1368,1345,16
LIN-WLD-02,PRD-PLT-005,2025-12-02,787,782,112
LIN-PRS-01-6,PRD-PLT-005-6,2026-03-20,3112,2981,None
LIN-EDR-01-6,PRD-STA-320-6,2024-03-06,1361,1330,4
LIN-PRS-01-3,PRD-BRK-220-3,2024-11-12,3185,3041,245 mins
LIN-EDR-02-2,PRD-MOT-500-2,2024-08-15,1278,1245,15
LIN-WLD-01-6,PRD-CHS-010-6,2025-06-26,846,830,1 min
LIN-WLD-01-2,PRD-CHS-010-2,2025-03-04,1108,1017,183
LIN-CNC-01-4,PRD-VAL-101-4,2025-01-16,2101,1967,5 min
LIN-WLD-02-4,PRD-PLT-005-4,2024-04-07,375,358,38 min
LIN-WLD-02-7,PRD-PLT-005-7,2024-09-17,1166,1109,50 min
LIN-EDR-01-8,PRD-STA-320-8,2025-11-27,1369,1328,2 min
LIN-CNC-02-2,PRD-FLG-880-2,2025-10-16,2034,1957,20
LIN-CNC-01-4,PRD-FLG-880-4,2025-09-03,2505,2469,42 min
LIN-CNC-01-2,PRD-VAL-101-2,2024-05-24,2569,2487,23 min
LIN-PRS-01-10,PRD-PLT-005-10,2024-11-07,2806,2736,15 min
LIN-PNT-01-7,PRD-HSG-450-7,2025-12-02,2242,2172,8
LIN-PNT-01-7,PRD-FLG-880-7,2026-05-28,2935,2877,28
LIN-PRS-01-9,PRD-BRK-220-9,2024-02-16,3724,3545,9 min
LIN-CNC-01-10,PRD-FLG-880-10,2026-04-24,2048,1997,6
LIN-CNC-02-3,PRD-BRK-220-3,2025-12-27,567,539,4
LIN-WLD-02-7,PRD-PLT-005-7,2024-01-15,1505,1326,101
LIN-PNT-01-8,PRD-HSG-450-8,2025-09-02,2338,2242,30
LIN-PNT-01-7,PRD-HSG-450-7,2024-12-24,2347,2324,1 min
LIN-CNC-02-6,PRD-FLG-880-6,2025-01-13,2803,2734,24
LIN-CNC-02-10,PRD-FLG-880-10,2024-03-21,2516,2488,None
LIN-WLD-02-2,PRD-CHS-010-2,2025-09-26,1019,999,8
LIN-WLD-02-7,PRD-PLT-005-7,2024-03-15,864,826,11
LIN-EDR-01-3,PRD-STA-320-3,2024-01-02,1156,1150,22
LIN-WLD-01-9,PRD-CHS-010-9,2024-11-21,859,816,1.1 hrs
LIN-PNT-01-3,PRD-FLG-880-3,2025-09-17,3069,2905,18
LIN-WLD-01-5,PRD-CHS-010-5,2025-06-02,960,920,1
LIN-PRS-01-2,PRD-BRK-220-2,2024-07-10,2454,2406,43 min
LIN-CNC-02-8,PRD-BRK-220-8,2024-09-13,2504,2413,4
LIN-PNT-01-3,PRD-HSG-450-3,2024-08-02,3295,3257,29 min
LIN-CNC-02-5,PRD-FLG-880-5,2025-08-21,2282,2186,5
LIN-WLD-02-9,PRD-CHS-010-9,2024-05-03,903,891,47 min
LIN-PNT-01-5,PRD-HSG-450-5,2024-02-22,2017,1993,5
LIN-PNT-01,PRD-FLG-880,2024-08-09,2381,2345,1.6 hrs
LIN-CNC-02-9,PRD-BRK-220-9,2024-07-30,2335,2240,49 min
LIN-CNC-01-10,PRD-VAL-101-10,2026-03-24,1382,1304,None
LIN-CNC-01-8,PRD-FLG-880-8,2025-03-26,2368,2207,63
LIN-PRS-01-6,PRD-PLT-005-6,2025-04-28,2863,2777,2
LIN-PRS-01-5,PRD-PLT-005-5,2026-05-22,3478,3341,51
LIN-PRS-01-3,PRD-BRK-220-3,2024-04-10,3078,2908,47 min
LIN-CNC-01-3,PRD-FLG-880-3,2024-12-25,1578,1532,164 mins
LIN-PNT-01,PRD-FLG-880,2025-06-30,2335,2321,1.8 hrs
LIN-PNT-01-5,PRD-FLG-880-5,2026-01-23,3859,3764,31
LIN-EDR-02-9,PRD-MOT-500-9,2025-02-05,1183,1114,9
LIN-CNC-02-5,PRD-BRK-220-5,2025-11-12,2974,2906,9 min
LIN-PRS-01-4,PRD-BRK-220-4,2025-08-04,3919,3724,3.0 hrs
LIN-EDR-01-6,PRD-STA-320-6,2026-01-28,949,865,37 min
LIN-WLD-02,PRD-CHS-010,2025-02-26,1104,1045,25
LIN-EDR-02-9,,2024-10-23,,,Line Maintenance
LIN-CNC-01-4,PRD-FLG-880-4,2024-02-19,1752,1596,6 min
LIN-CNC-02-9,PRD-FLG-880-9,2025-04-23,2003,1846,10
LIN-CNC-01-6,,2025-07-29,,,Line Maintenance
LIN-WLD-02-9,PRD-PLT-005-9,2025-01-06,957,926,181
LIN-PRS-01-2,PRD-PLT-005-2,2024-04-19,3269,3103,11 min
LIN-CNC-02-3,PRD-BRK-220-3,2026-05-11,2186,2080,27 min
LIN-WLD-02-5,PRD-CHS-010-5,2024-06-17,1149,1079,27 min
LIN-CNC-01-3,PRD-VAL-101-3,2024-07-05,1693,1662,122
LIN-EDR-02,PRD-MOT-500,2024-10-15,1624,1502,171
LIN-WLD-02-5,PRD-CHS-010-5,2025-02-06,1151,1025,1.6 hrs
LIN-CNC-01-3,PRD-VAL-101-3,2025-12-09,2330,2174,22
LIN-PRS-01-8,PRD-BRK-220-8,2025-05-06,3583,3554,203
LIN-PNT-01-8,PRD-FLG-880-8,2026-01-04,1082,967,26
LIN-EDR-02,PRD-MOT-500,2025-07-01,1735,1694,11 min
LIN-CNC-02-10,PRD-FLG-880-10,2026-04-29,2664,2615,44
LIN-PNT-01-7,PRD-FLG-880-7,2024-08-07,2891,2847,44 min
LIN-CNC-01,PRD-VAL-101,2026-03-03,1575,1501,1.2 hrs
LIN-PNT-01-2,PRD-FLG-880-2,2025-12-29,3054,2991,116 mins
LIN-WLD-02-3,PRD-PLT-005-3,2025-02-13,1473,1401,33 min
LIN-WLD-02-9,PRD-CHS-010-9,2025-06-06,935,904,4
LIN-WLD-02-7,PRD-PLT-005-7,2026-04-06,1312,1289,104 mins
LIN-EDR-02,PRD-MOT-500,2024-09-29,597,534,27
LIN-WLD-01-3,PRD-CHS-010-3,2026-05-06,1133,1088,144
LIN-WLD-02-10,PRD-CHS-010-10,2024-03-10,264,258,10 min
LIN-CNC-01,PRD-FLG-880,2026-05-27,2081,1983,5
LIN-EDR-01,PRD-STA-320,2026-05-25,1185,1095,3.3 hrs
LIN-WLD-01-2,PRD-CHS-010-2,2025-10-15,913,892,24
LIN-CNC-02-4,PRD-FLG-880-4,2026-02-02,2491,2460,1 min
LIN-EDR-01-10,PRD-STA-320-10,2025-10-16,1293,1234,156 mins
LIN-PNT-01,PRD-HSG-450,2025-10-30,2880,2780,198 mins
LIN-CNC-02-8,PRD-FLG-880-8,2024-04-19,2177,2105,71 mins
LIN-CNC-01-6,PRD-VAL-101-6,2024-05-11,830,814,79 mins
LIN-PRS-01-5,PRD-PLT-005-5,2025-11-22,747,693,2.3 hrs
LIN-CNC-02-8,PRD-FLG-880-8,2024-07-24,3044,2955,243
LIN-CNC-02,PRD-FLG-880,2025-04-30,2055,1991,59 min
LIN-PNT-01-2,PRD-FLG-880-2,2024-05-15,2696,2614,201 mins
LIN-CNC-01-2,PRD-VAL-101-2,2026-05-22,2115,2080,1 min
LIN-EDR-02,PRD-MOT-500,2024-03-10,320,298,6
LIN-WLD-01,PRD-CHS-010,2025-03-23,422,415,4 min
LIN-EDR-02-6,,2025-01-20,,,Line Maintenance
LIN-CNC-02-2,PRD-BRK-220-2,2024-11-06,2962,2891,6 min
LIN-EDR-01-10,PRD-STA-320-10,2024-08-13,1482,1448,8 min
LIN-EDR-01,PRD-STA-320,2025-02-06,1220,1189,17 min
LIN-CNC-01-9,PRD-FLG-880-9,2024-02-02,1951,1815,4 min
LIN-WLD-02-7,PRD-CHS-010-7,2025-12-15,1189,1003,180
LIN-EDR-01-5,PRD-STA-320-5,2025-09-11,1151,1072,17 min
LIN-WLD-02,PRD-CHS-010,2024-01-31,1010,990,24 min
LIN-CNC-01-4,PRD-VAL-101-4,2024-08-26,2073,2043,84
LIN-CNC-02-5,PRD-FLG-880-5,2025-01-08,2857,2781,28 min
LIN-PNT-01-2,PRD-HSG-450-2,2025-09-05,2502,2428,31
LIN-WLD-02-8,PRD-CHS-010-8,2025-01-20,980,948,34 min
LIN-PRS-01-7,PRD-PLT-005-7,2025-04-10,2854,2789,5
LIN-PRS-01-2,PRD-BRK-220-2,2024-10-04,2913,2875,131
LIN-CNC-02-3,PRD-FLG-880-3,2025-05-22,2130,2037,3.1 hrs
LIN-CNC-01-2,PRD-FLG-880-2,2024-12-19,1703,1687,2 min
LIN-WLD-01-5,PRD-CHS-010-5,2024-05-16,1170,1124,45
LIN-WLD-02-10,PRD-PLT-005-10,2024-04-19,1049,1016,27 min
LIN-EDR-01-2,PRD-STA-320-2,2024-06-21,1384,1364,120 mins
LIN-PNT-01-8,,2024-08-06,,,Line Maintenance
LIN-PNT-01-7,PRD-HSG-450-7,2026-05-13,2577,2391,0
LIN-PNT-01-8,PRD-HSG-450-8,2026-06-17,3395,3205,32
LIN-PNT-01-7,PRD-HSG-450-7,2025-08-14,2436,2413,2.7 hrs
LIN-CNC-02-8,PRD-FLG-880-8,2025-04-29,2375,2236,28 min
LIN-EDR-01,PRD-STA-320,2024-02-15,1092,1090,12 min
LIN-PNT-01-10,PRD-FLG-880-10,2025-07-14,3709,3479,45 min
LIN-PRS-01-4,PRD-PLT-005-4,2024-01-17,3401,3108,14
LIN-CNC-01,PRD-FLG-880,2024-08-08,1898,1838,38 min
LIN-EDR-02-9,PRD-MOT-500-9,2025-06-05,1281,1212,59 min
LIN-PNT-01,PRD-HSG-450,2024-10-08,2557,2403,52 min
LIN-PRS-01-5,PRD-PLT-005-5,2024-11-08,3727,3669,14 min
LIN-CNC-02-7,PRD-BRK-220-7,2024-12-13,3041,2912,2.2 hrs
LIN-CNC-02-6,PRD-FLG-880-6,2025-11-25,2642,2438,47 min
LIN-PNT-01,PRD-FLG-880,2025-06-10,3141,3057,62 mins
LIN-CNC-01-10,PRD-FLG-880-10,2024-10-05,677,657,4 min
LIN-CNC-02-8,PRD-BRK-220-8,2026-05-01,2062,2024,29
LIN-PRS-01-8,PRD-PLT-005-8,2026-04-21,3116,2881,49
LIN-PRS-01-6,PRD-PLT-005-6,2025-05-27,3166,3062,247 mins
LIN-CNC-01-7,PRD-VAL-101-7,2024-10-08,1501,1486,11 min
LIN-PNT-01-3,PRD-HSG-450-3,2025-08-19,3277,3101,4 min
LIN-CNC-02-6,PRD-FLG-880-6,2025-02-07,3014,2964,4
LIN-WLD-02-4,PRD-PLT-005-4,2024-02-04,338,331,3
LIN-PNT-01-3,PRD-HSG-450-3,2025-08-29,1971,1896,142
LIN-PRS-01-4,PRD-PLT-005-4,2024-12-04,3040,2892,4
LIN-EDR-01-2,PRD-STA-320-2,2024-09-09,1256,1176,33 min
LIN-PNT-01-7,PRD-HSG-450-7,2026-04-17,3738,3714,5
LIN-CNC-01-2,PRD-VAL-101-2,2024-06-19,1728,1721,1.2 hrs
LIN-EDR-01-7,PRD-STA-320-7,2026-04-14,1086,1051,35 min
LIN-PRS-01-6,PRD-BRK-220-6,2024-11-04,4052,3931,10
LIN-WLD-02-6,PRD-PLT-005-6,2025-11-14,900,846,2
LIN-WLD-02-5,PRD-PLT-005-5,2024-05-13,870,836,8
LIN-PNT-01-10,PRD-FLG-880-10,2024-06-21,2986,2885,15
LIN-WLD-02-3,PRD-CHS-010-3,2025-06-04,1163,1057,4
LIN-CNC-02-4,PRD-BRK-220-4,2025-10-23,1858,1849,157 mins
LIN-CNC-01-3,PRD-FLG-880-3,2024-05-13,1775,1715,37 min
LIN-WLD-01-4,PRD-CHS-010-4,2026-05-22,938,923,5 min
LIN-CNC-01-9,PRD-VAL-101-9,2025-01-28,1893,1827,36
LIN-WLD-01-8,PRD-CHS-010-8,2026-05-09,320,311,1
LIN-CNC-02-4,PRD-BRK-220-4,2025-12-16,1965,1744,218
LIN-CNC-01-9,PRD-FLG-880-9,2025-07-08,1582,1528,3 min
LIN-CNC-02-5,PRD-FLG-880-5,2026-05-11,3091,3056,33
LIN-PRS-01-7,PRD-PLT-005-7,2025-10-10,3781,3588,9
LIN-CNC-02-5,PRD-FLG-880-5,2024-06-06,2584,2560,20 min
LIN-WLD-02-5,PRD-PLT-005-5,2024-05-28,893,832,15 min
LIN-WLD-02-7,PRD-CHS-010-7,2026-06-15,1275,1222,6 min
LIN-CNC-01,PRD-VAL-101,2025-08-08,2047,1903,18
LIN-WLD-02-9,PRD-CHS-010-9,2025-05-13,939,902,108 mins
LIN-WLD-01-9,PRD-CHS-010-9,2024-12-31,930,886,30
LIN-PRS-01-8,PRD-PLT-005-8,2024-10-25,2777,2715,87 mins
LIN-WLD-01,PRD-CHS-010,2024-10-08,1114,1057,None
LIN-CNC-01-2,PRD-FLG-880-2,2025-06-09,1479,1473,201
LIN-CNC-02-7,PRD-FLG-880-7,2024-12-26,2285,2229,223 mins
LIN-CNC-01-3,PRD-FLG-880-3,2024-10-09,1671,1541,20 min
LIN-CNC-02,PRD-FLG-880,2026-02-24,2822,2808,31 min
LIN-PNT-01-8,PRD-HSG-450-8,2024-10-11,2408,2358,21 min
LIN-PRS-01-8,PRD-PLT-005-8,2026-03-31,2395,2080,3.0 hrs
LIN-CNC-01-9,PRD-VAL-101-9,2024-08-05,1506,1402,40 min
LIN-EDR-01-10,PRD-STA-320-10,2026-03-13,1462,1429,86
LIN-EDR-01,PRD-STA-320,2025-05-28,1485,1470,22
LIN-PRS-01-9,PRD-BRK-220-9,2026-04-13,3023,2905,58 min
LIN-PNT-01-3,PRD-FLG-880-3,2024-10-22,3485,3344,120
LIN-PNT-01-6,PRD-FLG-880-6,2025-05-12,2465,2406,19 min
LIN-CNC-02-4,PRD-BRK-220-4,2024-10-10,2440,2342,3 min
LIN-EDR-01-8,PRD-STA-320-8,2024-07-19,1518,1458,41
LIN-CNC-01-8,PRD-VAL-101-8,2024-05-06,1987,1955,39
LIN-CNC-02-4,PRD-FLG-880-4,2024-08-05,2666,2616,85 mins
LIN-WLD-02-9,PRD-PLT-005-9,2025-10-22,1346,1229,85 mins
LIN-WLD-02-5,PRD-PLT-005-5,2025-12-09,882,864,5
LIN-EDR-01-8,,2025-05-26,,,Line Maintenance
LIN-WLD-02-7,PRD-CHS-010-7,2026-05-01,774,755,129 mins
LIN-WLD-02-2,PRD-PLT-005-2,2025-11-14,1229,1159,28 min
LIN-CNC-01-9,PRD-VAL-101-9,2025-08-24,607,579,19 min
LIN-WLD-01-7,PRD-CHS-010-7,2024-12-19,901,892,184 mins
LIN-WLD-02-3,PRD-CHS-010-3,2026-02-06,1451,1378,113 mins
LIN-CNC-02-5,PRD-BRK-220-5,2025-03-21,2883,2604,58
LIN-PNT-01-6,PRD-HSG-450-6,2025-07-22,3047,3008,0
LIN-CNC-02-10,PRD-FLG-880-10,2024-07-04,1710,1591,28 min
LIN-PRS-01-10,PRD-BRK-220-10,2024-02-12,2937,2782,32
LIN-PNT-01-8,PRD-FLG-880-8,2024-02-14,2893,2852,28
LIN-EDR-02-8,PRD-MOT-500-8,2025-10-22,1016,975,1
LIN-PNT-01-9,PRD-FLG-880-9,2026-06-04,2934,2690,9 min
LIN-CNC-01-2,PRD-FLG-880-2,2025-02-11,1443,1320,16
LIN-EDR-01-10,PRD-STA-320-10,2025-01-26,382,367,6
LIN-EDR-02-4,PRD-MOT-500-4,2024-03-07,1583,1481,9 min
LIN-WLD-02-7,PRD-PLT-005-7,2025-05-09,1098,1023,14 min
LIN-EDR-01-5,PRD-STA-320-5,2025-11-07,1397,1387,1
LIN-PNT-01-8,PRD-HSG-450-8,2025-03-17,3516,3298,7 min
LIN-CNC-02,PRD-BRK-220,2024-12-04,1834,1777,25 min
LIN-CNC-01-4,PRD-VAL-101-4,2024-02-13,1601,1450,15
LIN-PNT-01-8,PRD-FLG-880-8,2025-09-03,2964,2658,40 min
LIN-PRS-01,,2024-11-20,,,Line Maintenance
LIN-CNC-01-4,PRD-FLG-880-4,2025-05-02,1809,1785,17
LIN-PRS-01-8,PRD-BRK-220-8,2025-07-04,2987,2779,7
LIN-CNC-02-5,PRD-BRK-220-5,2025-04-24,2584,2545,4 min
LIN-EDR-02-3,PRD-MOT-500-3,2024-10-03,1089,1067,219
LIN-EDR-02-4,PRD-MOT-500-4,2025-09-12,1811,1764,106
LIN-CNC-02-7,PRD-BRK-220-7,2025-10-02,2154,2015,110 mins
LIN-PNT-01-4,PRD-HSG-450-4,2026-06-18,2505,2409,215
LIN-CNC-02-2,PRD-FLG-880-2,2026-05-16,522,516,24
LIN-CNC-01-9,PRD-FLG-880-9,2024-12-06,1936,1801,14 min
LIN-PNT-01-2,PRD-FLG-880-2,2025-07-30,2581,2331,43 min
LIN-PRS-01-3,PRD-BRK-220-3,2025-12-26,3779,3774,64
